leak_node,leak_diam_mm,leak_at,closest_sensor,dd_score,dd_timepoint,execution_time_sec,explanation_feature_scores,best_explained_sensor
n3,15,5319000,n31,0.10331411210317465,5356800,2.4674737453460693,"{'n1': '0.34357', 'n4': '0.04673', 'n31': '0.23265', 'n54': '0.01410', 'n105': '0.01026', 'n114': '0.02839', 'n163': '0.00563', 'n188': '0.00697', 'n215': '0.05679', 'n229': '0.01382', 'n288': '0.00704', 'n296': '0.01311', 'n332': '0.00567', 'n342': '0.00571', 'n410': '0.01386', 'n415': '0.01371', 'n429': '0.00851', 'n458': '0.00896', 'n469': '0.01130', 'n495': '0.00690', 'n506': '0.01000', 'n516': '0.01181', 'n519': '0.00512', 'n549': '0.00940', 'n613': '0.00584', 'n636': '0.00620', 'n644': '0.00907', 'n679': '0.00891', 'n722': '0.01720', 'n726': '0.01284', 'n740': '0.01896', 'n752': '0.01644', 'n769': '0.01452'}",n1
n4,15,1425600,n4,0.022305927579365115,1382400,1.7329504489898682,"{'n1': '0.13212', 'n4': '0.71825', 'n31': '0.05590', 'n54': '0.00885', 'n105': '0.00155', 'n114': '0.00133', 'n163': '0.00174', 'n188': '0.00229', 'n215': '0.02488', 'n229': '0.00345', 'n288': '0.00205', 'n296': '0.00230', 'n332': '0.00192', 'n342': '0.00298', 'n410': '0.00581', 'n415': '0.00166', 'n429': '0.00257', 'n458': '0.00284', 'n469': '0.00155', 'n495': '0.00107', 'n506': '0.00160', 'n516': '0.00290', 'n519': '0.00254', 'n549': '0.00080', 'n613': '0.00165', 'n636': '0.00209', 'n644': '0.00139', 'n679': '0.00174', 'n722': '0.00240', 'n726': '0.00182', 'n740': '0.00240', 'n752': '0.00168', 'n769': '0.00187'}",n4
n5,15,788400,n31,0.2106540532879818,777600,2.383329153060913,"{'n1': '0.09778', 'n4': '0.22529', 'n31': '0.09383', 'n54': '0.08138', 'n105': '0.01118', 'n114': '0.02962', 'n163': '0.00587', 'n188': '0.01066', 'n215': '0.09454', 'n229': '0.02115', 'n288': '0.01078', 'n296': '0.01630', 'n332': '0.01172', 'n342': '0.01176', 'n410': '0.02932', 'n415': '0.01249', 'n429': '0.02262', 'n458': '0.00858', 'n469': '0.02318', 'n495': '0.01221', 'n506': '0.00858', 'n516': '0.01870', 'n519': '0.01198', 'n549': '0.01313', 'n613': '0.00679', 'n636': '0.01360', 'n644': '0.01401', 'n679': '0.01165', 'n722': '0.01448', 'n726': '0.00888', 'n740': '0.01876', 'n752': '0.01412', 'n769': '0.01506'}",n4
n6,15,6071400,n4,0.0157002905328798,6048000,1.750230073928833,"{'n1': '0.12872', 'n4': '0.66652', 'n31': '0.11834', 'n54': '0.00376', 'n105': '0.00381', 'n114': '0.00368', 'n163': '0.00226', 'n188': '0.00187', 'n215': '0.01542', 'n229': '0.00353', 'n288': '0.00142', 'n296': '0.00190', 'n332': '0.00244', 'n342': '0.00210', 'n410': '0.00171', 'n415': '0.00141', 'n429': '0.00284', 'n458': '0.00208', 'n469': '0.00368', 'n495': '0.00244', 'n506': '0.00277', 'n516': '0.00344', 'n519': '0.00206', 'n549': '0.00282', 'n613': '0.00257', 'n636': '0.00168', 'n644': '0.00164', 'n679': '0.00180', 'n722': '0.00288', 'n726': '0.00193', 'n740': '0.00209', 'n752': '0.00208', 'n769': '0.00233'}",n4
n10,15,2632500,n1,0.08986589427437641,2592000,2.342846632003784,"{'n1': '0.35606', 'n4': '0.06430', 'n31': '0.20245', 'n54': '0.03051', 'n105': '0.00912', 'n114': '0.01283', 'n163': '0.00673', 'n188': '0.00572', 'n215': '0.07960', 'n229': '0.01404', 'n288': '0.01844', 'n296': '0.00622', 'n332': '0.00785', 'n342': '0.00723', 'n410': '0.02099', 'n415': '0.00942', 'n429': '0.01251', 'n458': '0.00714', 'n469': '0.00944', 'n495': '0.00632', 'n506': '0.00786', 'n516': '0.01278', 'n519': '0.00641', 'n549': '0.00886', 'n613': '0.00346', 'n636': '0.00644', 'n644': '0.00994', 'n679': '0.01191', 'n722': '0.01168', 'n726': '0.00640', 'n740': '0.01210', 'n752': '0.00673', 'n769': '0.00850'}",n1
n11,15,2410200,n31,0.27561871102607716,2419200,2.2575597763061523,"{'n1': '0.07973', 'n4': '0.15273', 'n31': '0.11504', 'n54': '0.03222', 'n105': '0.01142', 'n114': '0.02331', 'n163': '0.01010', 'n188': '0.01144', 'n215': '0.11112', 'n229': '0.02850', 'n288': '0.01608', 'n296': '0.02398', 'n332': '0.01470', 'n342': '0.01419', 'n410': '0.02828', 'n415': '0.04202', 'n429': '0.01742', 'n458': '0.01844', 'n469': '0.01174', 'n495': '0.01662', 'n506': '0.01136', 'n516': '0.02011', 'n519': '0.01490', 'n549': '0.02004', 'n613': '0.01091', 'n636': '0.01873', 'n644': '0.02028', 'n679': '0.01243', 'n722': '0.01996', 'n726': '0.01388', 'n740': '0.02034', 'n752': '0.01343', 'n769': '0.02456'}",n4
n14,15,2250000,n4,0.11924248866213161,2246400,2.432744264602661,"{'n1': '0.05436', 'n4': '0.35356', 'n31': '0.20786', 'n54': '0.01788', 'n105': '0.00992', 'n114': '0.01923', 'n163': '0.00555', 'n188': '0.00948', 'n215': '0.06937', 'n229': '0.01061', 'n288': '0.00896', 'n296': '0.01097', 'n332': '0.01041', 'n342': '0.00752', 'n410': '0.02248', 'n415': '0.01723', 'n429': '0.01172', 'n458': '0.01137', 'n469': '0.00870', 'n495': '0.01134', 'n506': '0.00609', 'n516': '0.01435', 'n519': '0.00793', 'n549': '0.01056', 'n613': '0.00444', 'n636': '0.01083', 'n644': '0.01206', 'n679': '0.01256', 'n722': '0.00745', 'n726': '0.00626', 'n740': '0.01266', 'n752': '0.00739', 'n769': '0.00891'}",n4
n15,15,1633500,n31,0.17546680130385495,1641600,2.407313823699951,"{'n1': '0.31182', 'n4': '0.04172', 'n31': '0.16748', 'n54': '0.02265', 'n105': '0.01001', 'n114': '0.02060', 'n163': '0.00779', 'n188': '0.00743', 'n215': '0.08346', 'n229': '0.02121', 'n288': '0.01071', 'n296': '0.01653', 'n332': '0.02033', 'n342': '0.00767', 'n410': '0.02412', 'n415': '0.01231', 'n429': '0.01394', 'n458': '0.00952', 'n469': '0.01588', 'n495': '0.01133', 'n506': '0.01146', 'n516': '0.01427', 'n519': '0.01346', 'n549': '0.00916', 'n613': '0.00593', 'n636': '0.01026', 'n644': '0.01681', 'n679': '0.01411', 'n722': '0.01177', 'n726': '0.01109', 'n740': '0.01979', 'n752': '0.00991', 'n769': '0.01549'}",n1
n17,15,6034500,n31,0.2911219175170068,6048000,2.383690595626831,"{'n1': '0.10610', 'n4': '0.09704', 'n31': '0.12399', 'n54': '0.03532', 'n105': '0.01406', 'n114': '0.03851', 'n163': '0.01494', 'n188': '0.01567', 'n215': '0.08837', 'n229': '0.03431', 'n288': '0.01540', 'n296': '0.02230', 'n332': '0.01327', 'n342': '0.01521', 'n410': '0.02448', 'n415': '0.02165', 'n429': '0.01935', 'n458': '0.01302', 'n469': '0.02136', 'n495': '0.01826', 'n506': '0.01576', 'n516': '0.02167', 'n519': '0.01325', 'n549': '0.01560', 'n613': '0.01586', 'n636': '0.01422', 'n644': '0.01771', 'n679': '0.01604', 'n722': '0.02603', 'n726': '0.01643', 'n740': '0.02588', 'n752': '0.02507', 'n769': '0.02389'}",n31
n18,15,1359900,n31,0.2630164044784581,1382400,2.51867938041687,"{'n1': '0.17180', 'n4': '0.09896', 'n31': '0.10689', 'n54': '0.06847', 'n105': '0.01259', 'n114': '0.02966', 'n163': '0.00781', 'n188': '0.00991', 'n215': '0.10394', 'n229': '0.02664', 'n288': '0.01806', 'n296': '0.01684', 'n332': '0.01182', 'n342': '0.01022', 'n410': '0.03486', 'n415': '0.01485', 'n429': '0.02185', 'n458': '0.00840', 'n469': '0.01539', 'n495': '0.01174', 'n506': '0.01279', 'n516': '0.01753', 'n519': '0.01113', 'n549': '0.01251', 'n613': '0.00794', 'n636': '0.01144', 'n644': '0.01472', 'n679': '0.01441', 'n722': '0.01603', 'n726': '0.01595', 'n740': '0.02866', 'n752': '0.01332', 'n769': '0.02288'}",n1
