leak_node,leak_diam_mm,leak_at,closest_sensor,dd_auc_d3,dd_timepoint_d3,dd_score_d3,dd_auc_ks,dd_timepoint_ks,dd_score_ks
n3,7,5319000,n31,0.5,5443200,0.41052384495464844,0.5,777600,0.8571428571428572
n4,7,1425600,n4,1.0,1382400,0.1622333829365079,0.5,777600,0.8571428571428572
n5,7,788400,n31,0.5,777600,0.4139340632086168,0.625,864000,0.8154761904761905
n6,7,6071400,n4,0.8,6048000,0.30490008503401367,0.5,5702400,0.8452380952380952
n10,7,2632500,n1,0.5,2592000,0.42759708049886624,0.5,777600,0.8571428571428572
n11,7,2410200,n31,0.5,2419200,0.43985836522108845,0.5,777600,0.8571428571428572
n14,7,2250000,n4,0.5,2419200,0.4189785289115646,0.5,777600,0.8571428571428572
n15,7,1633500,n31,0.5,1641600,0.42244189342403626,0.5,777600,0.8571428571428572
n17,7,6034500,n31,0.5,5961600,0.44399048681972786,0.5,5702400,0.8422619047619048
n18,7,1359900,n31,0.5,1641600,0.4465415072278911,0.5,777600,0.8526785714285714
n22,7,5593500,n1,0.5,5443200,0.4045382475907029,0.55,5702400,0.8229166666666666
n23,7,6065100,n31,0.5,5702400,0.4502329577664399,0.5,5702400,0.8422619047619048
n25,7,4625100,n31,0.5,4320000,0.4321499433106576,0.5,777600,0.8571428571428572
n26,7,1245600,n31,0.5,777600,0.4399159403344671,0.5,777600,0.8318452380952381
n32,7,4958100,n31,0.5,5443200,0.43623777636054417,0.5,777600,0.8571428571428572
n33,7,3715200,n31,0.5,3542400,0.44341473568594103,0.5,777600,0.8571428571428572
n34,7,838800,n31,0.5625,777600,0.39669696003401356,0.5625,777600,0.7946428571428572
n37,7,824400,n31,0.5,691200,0.403727767148526,0.5625,777600,0.8139880952380952
n38,7,1295100,n31,0.5,777600,0.4374313527494331,0.5,777600,0.8452380952380952
n40,7,2216700,n31,0.5,1900800,0.4494291206065759,0.5,777600,0.8571428571428572
n41,7,2319300,n31,0.5,2246400,0.4377258715986394,0.5,777600,0.8571428571428572
n43,7,4329900,n31,0.5,4320000,0.4414815405328798,0.5,777600,0.8571428571428572
n44,7,5042700,n54,0.5,777600,0.4468138818027211,0.5,777600,0.8571428571428572
n46,7,800100,n54,0.875,864000,0.30551791028911557,0.6875,777600,0.8110119047619048
n48,7,4742100,n410,0.9,4752000,0.2693961699263039,0.5,777600,0.8571428571428572
n50,7,2070000,n410,0.85,2160000,0.22404026714852598,0.5,1987200,0.8511904761904762
n51,7,5883300,n415,0.8,5875200,0.3046432114512472,0.5,5788800,0.8467261904761905
n52,7,5395500,n415,0.5,5443200,0.4324887507086168,0.5,777600,0.8571428571428572
n58,7,5775300,n415,0.8,5702400,0.3383246527777778,0.5,5788800,0.8377976190476191
n61,7,4622400,n54,0.5,4320000,0.44226101899092973,0.5,777600,0.8571428571428572
n63,7,3697200,n429,0.5,5961600,0.44941361961451254,0.5,777600,0.8571428571428572
n64,7,2229300,n54,0.5,777600,0.43947084041950113,0.5,777600,0.8571428571428572
n67,7,3915900,n54,0.5,777600,0.4438310480442176,0.5,777600,0.8571428571428572
n68,7,4949100,n410,0.85,4924800,0.2315427473072562,0.5,777600,0.8571428571428572
n71,7,2655000,n519,0.5,777600,0.447092899659864,0.5,777600,0.8571428571428572
n72,7,6571800,n54,0.5,6220800,0.45197349773242634,0.5,777600,0.8571428571428572
n74,7,7013700,n54,0.5,7171200,0.440892502834467,0.5,777600,0.8571428571428572
n75,7,652500,n410,0.9166666666666667,604800,0.31928500566893425,0.5833333333333334,777600,0.8229166666666666
n77,7,6199200,n458,0.5,5961600,0.42477589994331066,0.5,777600,0.8571428571428572
n78,7,6545700,n519,0.55,6480000,0.3894978564342404,0.5,777600,0.8571428571428572
n79,7,1781100,n458,0.5,777600,0.4474317070578231,0.5,777600,0.8571428571428572
n82,7,5751900,n410,0.5,5875200,0.4272095556972788,0.5,5788800,0.8482142857142857
n83,7,3720600,n429,0.5,777600,0.4521550807823129,0.5,777600,0.8571428571428572
n86,7,3113100,n429,0.5,3110400,0.4455317283163265,0.5,777600,0.8571428571428572
n87,7,2653200,n342,0.5,5961600,0.44422078727324255,0.5,777600,0.8571428571428572
n91,7,1750500,n458,0.65,1814400,0.3804187039399092,0.5,777600,0.8571428571428572
n96,7,2191500,n105,0.85,2160000,0.17408721301020413,0.5,2073600,0.8541666666666666
n97,7,6233400,n469,0.85,6220800,0.23080977182539686,0.5,6220800,0.8556547619047619
n98,7,3086100,n105,0.9,3024000,0.2122572987528345,0.5,777600,0.8571428571428572
n100,7,1358100,n105,0.85,1382400,0.20473710317460325,0.5,777600,0.8571428571428572
n101,7,1287900,n105,0.85,1296000,0.19249353387188206,0.5,777600,0.8556547619047619
n104,7,3405600,n114,0.95,3369600,0.1814966872165532,0.5,3542400,0.8422619047619048
n105,7,1317600,n105,0.85,1382400,0.2321849312641724,0.5,777600,0.8571428571428572
n106,7,3250800,n114,0.9,3196800,0.2497852005385487,0.5,777600,0.8571428571428572
n107,7,6852600,n105,0.9444444444444444,6825600,0.23456101190476197,0.5,777600,0.8571428571428572
n111,7,3140100,n495,0.5,777600,0.4529544890873016,0.5,777600,0.8571428571428572
n112,7,5055300,n495,0.85,5011200,0.2454183496315192,0.5,777600,0.8571428571428572
n113,7,2554200,n105,0.75,2592000,0.27036608914399085,0.5,777600,0.8571428571428572
n114,7,6554700,n114,1.0,6566400,0.1648198341836734,0.5,6393600,0.8422619047619048
n115,7,924300,n495,0.5,691200,0.438735650510204,0.5,777600,0.8511904761904762
n117,7,5984100,n415,0.8,5961600,0.24405426232993188,0.5,5788800,0.8526785714285714
n121,7,3991500,n516,1.0,3974400,0.1435391865079364,0.5,3888000,0.8556547619047619
n122,7,4557600,n105,0.9,4492800,0.29717394770408156,0.5,777600,0.8571428571428572
n125,7,1524600,n114,0.85,1468800,0.24105149872448972,0.5,777600,0.8571428571428572
n128,7,3394800,n495,0.7,3283200,0.36470512684240364,0.5,777600,0.8571428571428572
n129,7,1185300,n519,0.8,1209600,0.28738617842970526,0.5,777600,0.8482142857142857
n131,7,4674600,n114,1.0,4665600,0.1419403698979591,0.5,4665600,0.8273809523809523
n132,7,2765700,n506,0.85,2764800,0.20788601899092962,0.5,777600,0.8571428571428572
n133,7,6719400,n495,0.7,6825600,0.3503512081916099,0.5,777600,0.8571428571428572
n135,7,5238900,n516,1.0,5184000,0.1114676339285714,0.5,5270400,0.8258928571428572
n137,7,5164200,n506,0.9,5184000,0.22168633078231292,0.5,777600,0.8571428571428572
n140,7,7132500,n519,0.8333333333333333,7084800,0.2809134070294784,0.5,777600,0.8571428571428572
n142,7,6957900,n549,0.875,6998400,0.2576154159580497,0.5,777600,0.8571428571428572
n143,7,3270600,n332,0.8,3283200,0.3135673540249433,0.5,777600,0.8571428571428572
n144,7,4860900,n519,0.75,4838400,0.3397308142006803,0.5,777600,0.8571428571428572
n147,7,2022300,n332,0.9,1987200,0.2755102040816326,0.5,777600,0.8571428571428572
n149,7,5798700,n332,0.8,5788800,0.3041826105442176,0.5,5788800,0.8348214285714286
n151,7,1116900,n332,0.8,1123200,0.2833802791950113,0.5,777600,0.8407738095238095
n152,7,942300,n549,0.8888888888888888,950400,0.20421892715419498,0.6666666666666666,864000,0.8080357142857143
n153,7,5480100,n519,0.7,5443200,0.347483524659864,0.5,777600,0.8571428571428572
n156,7,2284200,n332,0.75,2246400,0.3238821570294784,0.5,777600,0.8571428571428572
n157,7,6303600,n332,0.8,6307200,0.32300745819161003,0.5,777600,0.8571428571428572
n159,7,2737800,n163,0.7,2764800,0.3324121315192744,0.5,777600,0.8571428571428572
n163,7,1192500,n163,0.75,1209600,0.2739844635770975,0.5,777600,0.8482142857142857
n164,7,6910200,n163,0.7222222222222222,6912000,0.32888897746598644,0.5,777600,0.8571428571428572
n165,7,2321100,n549,0.9,2332800,0.24031852324263037,0.5,777600,0.8571428571428572
n166,7,6993000,n163,0.8125,6998400,0.3095016652494331,0.5,777600,0.8571428571428572
n169,7,1349100,n458,0.65,1296000,0.339429652069161,0.5,777600,0.8571428571428572
