leak_node,leak_diam_mm,leak_at,closest_sensor,dd_auc_d3,dd_timepoint_d3,dd_score_d3,dd_auc_ks,dd_timepoint_ks,dd_score_ks
n3,7,5319000,n31,0.5,5443200,0.41052384495464844,0.5,777600,0.8571428571428572
n4,7,1425600,n4,1.0,1382400,0.1622333829365079,0.5,777600,0.8571428571428572
n5,7,788400,n31,0.5,777600,0.4139340632086168,0.625,864000,0.8154761904761905
n6,7,6071400,n4,0.8,6048000,0.30490008503401367,0.5,5702400,0.8452380952380952
n10,7,2632500,n1,0.5,2592000,0.42759708049886624,0.5,777600,0.8571428571428572
n11,7,2410200,n31,0.5,2419200,0.43985836522108845,0.5,777600,0.8571428571428572
n14,7,2250000,n4,0.5,2419200,0.4189785289115646,0.5,777600,0.8571428571428572
n15,7,1633500,n31,0.5,1641600,0.42244189342403626,0.5,777600,0.8571428571428572
n3,11,6034500,n31,0.9,6134400,0.3032436933106576,0.5,5961600,0.8318452380952381
n4,11,1359900,n4,0.9925373134328358,1382400,0.029741974914965996,0.85,1382400,0.6964285714285714
n5,11,5593500,n31,0.8,5616000,0.34822757227891155,0.75,5616000,0.7857142857142857
n6,11,6065100,n4,0.9425373134328358,6048000,0.06105840773809512,0.7,6048000,0.7723214285714286
n10,11,4625100,n1,0.9,4579200,0.2774566857993197,0.5,4665600,0.8318452380952381
n11,11,1245600,n31,0.55,1209600,0.39417029832766437,0.6925373134328358,864000,0.8020833333333334
n14,11,4958100,n4,0.75,5011200,0.3324829931972789,0.5,4838400,0.8318452380952381
n15,11,3715200,n31,0.75,3715200,0.3536440617913832,0.5,3715200,0.8407738095238095
n3,15,838800,n31,0.9927536231884059,864000,0.08789726828231292,0.875,777600,0.6934523809523809
n4,15,824400,n4,0.9927536231884059,777600,0.009827628968253843,0.9927536231884059,777600,0.3125
n5,15,1295100,n31,0.95,1296000,0.24650563350340127,0.7,1555200,0.7886904761904762
n6,15,2216700,n4,0.9776119402985074,2246400,0.00927845096371882,0.9425373134328358,2246400,0.5208333333333333
n10,15,2319300,n1,1.0,2332800,0.06972567672902497,0.7,2332800,0.7232142857142857
n11,15,4329900,n31,0.9,4320000,0.27403539540816324,0.8,4320000,0.71875
n14,15,5042700,n4,1.0,5011200,0.1600610296201812,0.9,5011200,0.7693452380952381
n15,15,800100,n31,1.0,777600,0.1601186047335601,0.8125,777600,0.6904761904761905
